1111	2565	2306
1090	2565	2303
1068	2565	2301
1049	2566	2300
1028	2567	2297
1006	2568	2295
980	2568	2292
950	2567	2288
923	2567	2285
895	2568	2282
869	2568	2279
843	2567	2277
817	2567	2274
794	2568	2271
771	2567	2269
749	2568	2268
728	2568	2267
709	2568	2266
693	2568	2266
678	2568	2263
661	2569	2261
648	2572	2260
635	2573	2259
622	2574	2258
609	2575	2257
595	2574	2257
582	2575	2257
570	2575	2257
558	2575	2257
546	2575	2258
535	2573	2258
524	2573	2258
514	2573	2258
505	2571	2258
497	2571	2258
492	2571	2258
488	2570	2257
485	2569	2257
483	2569	2255
482	2568	2253
481	2567	2254
479	2565	2255
475	2564	2256
469	2563	2256
462	2564	2255
454	2564	2254
444	2565	2253
430	2566	2253
416	2567	2253
398	2568	2253
380	2567	2253
360	2567	2253
340	2567	2253
322	2567	2253
304	2567	2253
286	2568	2252
272	2568	2251
259	2568	2250
246	2569	2250
235	2569	2250
224	2570	2249
214	2570	2249
205	2570	2249
195	2570	2249
185	2570	2249
175	2570	2250
165	2570	2250
155	2570	2250
143	2571	2249
132	2571	2250
121	2571	2250
109	2571	2250
97	2571	2250
85	2571	2250
72	2570	2250
59	2570	2250
45	2570	2250
30	2569	2249
14	2569	2250
2	2568	2250
3	2557	2298
16	2577	2304
29	2595	2314
42	2615	2325
53	2634	2338
64	2653	2353
76	2671	2369
88	2688	2385
100	2705	2403
111	2720	2420
120	2735	2438
130	2749	2456
137	2762	2474
145	2774	2492
150	2787	2513
156	2798	2536
162	2808	2559
169	2817	2582
178	2825	2607
186	2833	2629
192	2842	2649
200	2850	2664
207	2859	2678
213	2870	2692
219	2882	2705
225	2895	2716
232	2908	2727
240	2921	2739
247	2932	2753
255	2943	2767
265	2951	2781
275	2958	2793
286	2964	2802
300	2969	2810
314	2974	2818
329	2979	2828
347	2983	2842
367	2986	2857
388	2989	2872
411	2991	2887
434	2991	2903
460	2990	2920
487	2989	2934
511	2989	2949
537	2986	2963
561	2983	2978
585	2980	2992
610	2976	3010
634	2971	3031
657	2964	3055
679	2955	3079
699	2940	3107
718	2922	3137
737	2902	3168
756	2880	3196
773	2858	3223
788	2837	3252
802	2818	3279
815	2801	3304
825	2785	3329
831	2771	3350
835	2759	3367
835	2748	3381
833	2738	3394
830	2730	3405
827	2724	3410
817	2722	3409
801	2724	3401
784	2728	3387
765	2735	3369
744	2743	3346
722	2751	3322
701	2760	3296
681	2769	3268
661	2777	3237
640	2785	3207
621	2794	3177
603	2804	3148
589	2814	3120
577	2824	3095
567	2832	3071
560	2839	3050
555	2846	3033
553	2853	3016
553	2858	3001
553	2864	2987
553	2869	2974
553	2874	2964
553	2878	2954
553	2881	2945
553	2886	2936
553	2889	2926
553	2894	2917
